#node1	node2
64102	6676
64102	23786
64102	665
64102	945
64102	11148
64102	200232
64102	60314
64102	2209
64102	90993
64102	84283
64102	124975
64102	200894
64102	664
64102	57463
64102	113277
64102	115653
64102	3008
64102	4000
6676	6319
6676	79956
6676	9570
6676	222642
6676	3488
6676	26984
6676	85025
6676	11270
6676	64755
6676	432
6676	55790
6676	27302
6676	140732
6676	5780
6676	8269
6676	286753
6676	5350
6676	7920
6676	503497
6676	113178
6676	643847
6676	4956
6676	6676
6676	22976
6676	124404
23786	140850
23786	5349
23786	79956
23786	3163
23786	27346
23786	51522
23786	23673
23786	5354
23786	116151
23786	92359
23786	80195
23786	11161
23786	963
23786	2590
23786	51390
23786	144110
23786	6695
23786	8324
23786	149461
23786	401152
23786	10559
23786	169026
23786	9482
23786	84522
23786	23566
23786	55092
23786	4118
23786	57085
23786	83650
23786	255043
23786	9370
23786	2520
23786	286753
23786	643236
23786	347
23786	5350
23786	196051
23786	27040
23786	53345
23786	729515
23786	7124
23786	388588
23786	358
23786	8417
23786	79089
23786	11345
23786	9341
23786	79669
23786	362
23786	51267
23786	23710
23786	7780
23786	55454
23786	4815
23786	8674
23786	5407
23786	10282
23786	2030
23786	51090
23786	27315
23786	9445
23786	93517
23786	79073
23786	9027
23786	10385
23786	7781
23786	79415
23786	5010
23786	85013
23786	9144
23786	222662
23786	7348
23786	403313
23786	351
23786	9804
23786	56993
23786	6647
23786	3329
23786	291
23786	4544
23786	6541
23786	84987
23786	4259
665	11345
665	80777
665	56649
665	23710
665	7851
665	56935
665	64581
665	664
665	8834
665	144404
665	596
665	2130
665	89885
665	4000
665	598
665	55816
665	572
665	84557
665	60561
665	10488
665	2634
665	151230
665	55240
665	6092
665	663
665	665
665	10681
665	388633
665	2207
665	1845
665	8573
665	3164
665	11337
665	6009
665	1893
665	57118
665	23400
665	81631
665	55125
665	2055
665	26100
665	160760
665	9370
665	3357
665	27166
945	221981
945	3881
945	6319
945	2010
945	80777
945	79669
945	29914
945	79161
945	64114
945	4283
945	27302
945	55273
945	56475
945	55340
945	3886
945	125115
945	3932
945	6714
945	5781
945	5777
945	867
945	801
945	5824
945	3903
945	712
945	7100
945	201266
945	3952
945	713
945	714
945	81793
945	929
945	8916
945	113174
945	23412
11148	79956
11148	366
11148	81622
11148	79908
11148	79669
11148	11270
11148	55281
11148	56935
11148	348938
11148	56475
11148	283870
11148	10447
11148	643847
200232	80342
200232	57467
200232	57709
200232	22802
200232	9341
200232	81671
200232	5476
200232	7037
200232	11343
200232	8578
200232	2222
200232	966
200232	5349
200232	1312
200232	79956
200232	112755
200232	51257
200232	9524
200232	638
200232	3162
200232	706
200232	9145
200232	10175
200232	8760
200232	10406
200232	57136
200232	5355
200232	2010
200232	10562
200232	80777
200232	55238
200232	79152
200232	3163
200232	10423
200232	57130
200232	10282
200232	56913
200232	6505
200232	9570
200232	23531
200232	27346
200232	5376
200232	7466
200232	10553
200232	345
200232	975
200232	51522
200232	6005
200232	58515
200232	11068
200232	79669
200232	7348
200232	25972
200232	3488
200232	9917
200232	8674
200232	27230
200232	29914
200232	26984
200232	5354
200232	387522
200232	10385
200232	51141
200232	56927
200232	63908
200232	56914
200232	6779
200232	30817
200232	83460
200232	23780
200232	57045
200232	54982
200232	85013
200232	23480
200232	80195
200232	11161
200232	10100
200232	79161
200232	85025
200232	4284
200232	221938
200232	10695
200232	81853
200232	11270
200232	56649
200232	7009
200232	663
200232	64755
200232	1506
200232	432
200232	757
200232	963
200232	10500
200232	9027
200232	80731
200232	91775
200232	51390
200232	55281
200232	83604
200232	10682
200232	89885
200232	653567
200232	27315
200232	219854
200232	144110
200232	112616
200232	7102
200232	931
200232	64849
200232	340348
200232	2207
200232	79053
200232	114771
200232	125875
200232	58191
200232	6811
200232	7542
200232	27302
200232	285203
200232	84283
200232	1040
200232	149461
200232	51368
200232	401152
200232	11341
200232	10559
200232	169026
200232	157378
200232	360
200232	9075
200232	2706
200232	27069
200232	56935
200232	717
200232	55273
200232	6809
200232	124872
200232	79001
200232	359
200232	956
200232	6440
200232	10648
200232	79089
200232	29100
200232	10791
200232	80723
200232	56947
200232	56287
200232	131616
200232	9283
200232	2993
200232	9482
200232	79188
200232	53838
200232	84522
200232	124583
200232	23566
200232	1296
200232	4815
200232	4118
200232	94103
200232	134391
200232	64801
200232	8794
200232	133022
200232	22845
200232	55508
200232	113829
200232	664
200232	84277
200232	627
200232	56475
200232	57085
200232	8834
200232	7056
200232	79415
200232	84314
200232	91663
200232	255043
200232	9370
200232	286451
200232	339390
200232	389084
200232	164091
200232	200504
200232	2520
200232	400258
200232	255275
200232	79581
200232	5727
200232	245939
200232	157567
200232	84065
200232	5407
200232	94107
200232	643236
200232	1287
200232	347
200232	83862
200232	1364
200232	6273
200232	10447
200232	26020
200232	222662
200232	161145
200232	439
200232	344892
200232	5350
200232	51465
200232	196051
200232	83849
200232	259197
200232	245934
200232	503497
200232	84912
200232	613212
200232	403313
200232	201562
200232	170575
200232	53345
200232	51024
200232	7124
200232	388588
200232	358
200232	3804
200232	85014
200232	5542
200232	9554
200232	9560
200232	102724488
200232	84959
60314	57414
60314	5476
60314	51324
60314	162
60314	9145
60314	63910
60314	8760
60314	6855
60314	10226
60314	116519
60314	57134
60314	51029
60314	84072
60314	115265
60314	10814
60314	148534
60314	7809
60314	501
60314	116173
60314	23204
60314	10897
60314	57085
60314	2885
60314	90480
60314	347516
60314	51741
60314	51108
60314	161145
60314	113402
60314	6257
60314	6498
60314	10987
60314	3326
60314	171483
60314	100288797
60314	3312
60314	11034
60314	3320
60314	5931
60314	29978
60314	6613
60314	4692
60314	3315
60314	10539
60314	29979
60314	7064
60314	60528
60314	7919
60314	3329
60314	10910
60314	6652
60314	5226
60314	3417
60314	10598
60314	7511
60314	5019
60314	26007
60314	10212
60314	55192
60314	51611
60314	26275
2209	9452
2209	638
2209	10490
2209	7379
2209	222642
2209	4814
2209	432
2209	7851
2209	140767
2209	27302
2209	149461
2209	84522
2209	64581
2209	56475
2209	9332
2209	9370
2209	284415
2209	10447
2209	222662
2209	4067
2209	6464
2209	10288
2209	2214
2209	867
2209	27040
2209	3055
2209	325
2209	3937
2209	3273
2209	1399
2209	1401
2209	5336
2209	2209
2209	6850
2209	2204
2209	6645
2209	8476
2209	5099
2209	3039
2209	3698
2209	27034
2209	79465
2209	80144
2209	341640
2209	64881
2209	51294
2209	27253
90993	9058
90993	23324
90993	56895
90993	55591
90993	55334
90993	6515
90993	5476
90993	7037
90993	8578
90993	8417
90993	51006
90993	4258
90993	5349
90993	26998
90993	1312
90993	57715
90993	28978
90993	6319
90993	79956
90993	51257
90993	9524
